pic,corrAns,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,rt1,polygon.started,polygon.stopped,key_stim.keys,key_stim.corr,key_stim.started,key_stim.stopped,text_fb.started,text_fb.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_stim_2.keys,key_stim_2.corr,key_stim_2.started,key_stim_2.stopped,admin,participant,session,date,frameRate,
picResource\go_nogo\whiteTri.png,j,0,0,0,2,,,,,0.7,112.27691020000202,None,None,0,113.00990400000228,None,114.5076255999993,None,,,,,,,,,testAdmin,participantTest1,1,2022-06-12_01h15.59.824,60.28116340287699,
picResource\go_nogo\whiteRect.png,j,0,1,1,1,,,,,0.9,115.49041660000148,None,None,0,116.39014880000104,None,117.904757100001,None,,,,,,,,,testAdmin,participantTest1,1,2022-06-12_01h15.59.824,60.28116340287699,
picResource\go_nogo\whiteRect.png,j,0,2,2,5,,,,,0.5,118.90324619999956,None,None,0,119.40321089999998,None,120.90263350000168,None,,,,,,,,,testAdmin,participantTest1,1,2022-06-12_01h15.59.824,60.28116340287699,
picResource\go_nogo\whiteRect.png,j,0,3,3,3,,,,,1.0,121.90083819999927,None,None,0,122.90074280000044,None,124.41575720000037,None,,,,,,,,,testAdmin,participantTest1,1,2022-06-12_01h15.59.824,60.28116340287699,
picResource\go_nogo\purpleTri.png,None,0,4,4,6,,,,,0.8,125.41440900000089,None,None,1,126.21366449999914,None,127.72865599999932,None,,,,,,,,,testAdmin,participantTest1,1,2022-06-12_01h15.59.824,60.28116340287699,
picResource\go_nogo\purpleRect.png,None,0,5,5,7,,,,,0.5,128.72791140000118,None,None,1,129.24419000000125,None,130.74266070000158,None,,,,,,,,,testAdmin,participantTest1,1,2022-06-12_01h15.59.824,60.28116340287699,
picResource\go_nogo\whiteTri.png,j,0,6,6,4,,,,,0.8,131.75924320000195,None,None,0,132.57401899999968,None,134.08923590000268,None,,,,,,,,,testAdmin,participantTest1,1,2022-06-12_01h15.59.824,60.28116340287699,
picResource\go_nogo\whiteTri.png,j,0,7,7,0,,,,,0.7,135.08835380000164,None,None,0,135.78785179999977,None,137.30493240000214,None,,,,,,,,,testAdmin,participantTest1,1,2022-06-12_01h15.59.824,60.28116340287699,
,,,,,,,,,,,,,,,,,,,space,22.000269100000878,138.30163900000116,None,,,,,testAdmin,participantTest1,1,2022-06-12_01h15.59.824,60.28116340287699,
picResource\go_nogo\whiteRect.png,j,,,,,0,0,0,1,0.8,160.34548410000207,None,,,,,,,,,,,None,0,161.14615120000235,None,testAdmin,participantTest1,1,2022-06-12_01h15.59.824,60.28116340287699,
picResource\go_nogo\whiteTri.png,j,,,,,0,1,1,0,0.7,162.64713850000044,None,,,,,,,,,,,None,0,163.35972519999996,None,testAdmin,participantTest1,1,2022-06-12_01h15.59.824,60.28116340287699,
picResource\go_nogo\purpleRect.png,None,,,,,0,2,2,7,0.7,164.85870960000102,None,,,,,,,,,,,None,1,165.5742019999998,None,testAdmin,participantTest1,1,2022-06-12_01h15.59.824,60.28116340287699,
picResource\go_nogo\whiteRect.png,j,,,,,0,3,3,5,0.8,167.08921610000107,None,,,,,,,,,,,None,0,167.8894748999992,None,testAdmin,participantTest1,1,2022-06-12_01h15.59.824,60.28116340287699,
,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,
